Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1955,1773,998,48420.113281,0.020611
2,1000,0.1,0.2,50.0,1000,1989,1782,999,48783.582031,0.020478
3,1000,0.1,0.2,50.0,1000,2027,1821,999,50092.875000,0.019943
4,1000,0.1,0.2,50.0,1000,1974,1764,999,51316.214844,0.019468
5,1000,0.1,0.2,50.0,1000,1957,1753,999,50008.515625,0.019977
6,1000,0.1,0.2,50.0,1000,2016,1815,999,50084.101562,0.019946
7,1000,0.1,0.2,50.0,1000,2042,1806,999,49823.886719,0.020051
8,1000,0.1,0.2,50.0,1000,1988,1809,999,48771.625000,0.020483
9,1000,0.1,0.2,50.0,1000,2047,1845,999,49122.636719,0.020337
10,1000,0.1,0.2,50.0,1000,2019,1811,999,50340.898438,0.019845
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2363,1893,999,49754.339844,0.020079
2,1000,0.2,0.2,50.0,1000,2417,1917,999,48154.898438,0.020746
3,1000,0.2,0.2,50.0,1000,2459,1938,999,50913.308594,0.019622
4,1000,0.2,0.2,50.0,1000,2415,1947,999,49688.375000,0.020105
5,1000,0.2,0.2,50.0,1000,2312,1855,999,49021.289062,0.020379
6,1000,0.2,0.2,50.0,1000,2412,1953,999,50889.171875,0.019631
7,1000,0.2,0.2,50.0,1000,2461,1941,999,50375.222656,0.019831
8,1000,0.2,0.2,50.0,1000,2395,1956,999,51040.011719,0.019573
9,1000,0.2,0.2,50.0,1000,2536,2004,999,49235.003906,0.020290
10,1000,0.2,0.2,50.0,1000,2405,1952,999,49111.835938,0.020341
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3667,2212,886,50583.136719,0.017516
2,1000,0.4,0.2,50.0,1000,3724,2220,897,50208.937500,0.017865
3,1000,0.4,0.2,50.0,1000,3607,2134,857,49011.164062,0.017486
4,1000,0.4,0.2,50.0,1000,3638,2202,950,49025.257812,0.019378
5,1000,0.4,0.2,50.0,1000,3624,2160,922,48943.832031,0.018838
6,1000,0.4,0.2,50.0,1000,3726,2269,956,50262.917969,0.019020
7,1000,0.4,0.2,50.0,1000,3677,2205,910,50054.242188,0.018180
8,1000,0.4,0.2,50.0,1000,3762,2309,963,50826.347656,0.018947
9,1000,0.4,0.2,50.0,1000,3674,2192,902,49266.507812,0.018309
10,1000,0.4,0.2,50.0,1000,3635,2201,924,48794.761719,0.018936
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3575,1451,442,50944.210938,0.008676
2,1000,0.6,0.2,50.0,1000,3485,1398,425,49803.460938,0.008534
3,1000,0.6,0.2,50.0,1000,3447,1358,389,49285.046875,0.007893
4,1000,0.6,0.2,50.0,1000,3571,1457,444,50876.550781,0.008727
5,1000,0.6,0.2,50.0,1000,3531,1386,438,50066.320312,0.008748
6,1000,0.6,0.2,50.0,1000,3533,1408,415,50754.464844,0.008177
7,1000,0.6,0.2,50.0,1000,3398,1384,395,48506.667969,0.008143
8,1000,0.6,0.2,50.0,1000,3488,1416,415,49832.136719,0.008328
9,1000,0.6,0.2,50.0,1000,3409,1345,392,48656.074219,0.008057
10,1000,0.6,0.2,50.0,1000,3464,1401,415,49472.898438,0.008388
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3493,703,104,51811.433594,0.002007
2,1000,0.8,0.2,50.0,1000,3404,693,115,50421.933594,0.002281
3,1000,0.8,0.2,50.0,1000,3313,687,105,49115.605469,0.002138
4,1000,0.8,0.2,50.0,1000,3350,721,105,49630.941406,0.002116
5,1000,0.8,0.2,50.0,1000,3360,705,132,49540.636719,0.002664
6,1000,0.8,0.2,50.0,1000,3321,705,121,49168.042969,0.002461
7,1000,0.8,0.2,50.0,1000,3342,659,103,49521.539062,0.002080
8,1000,0.8,0.2,50.0,1000,3526,677,109,52289.152344,0.002085
9,1000,0.8,0.2,50.0,1000,3273,666,114,48417.054688,0.002355
10,1000,0.8,0.2,50.0,1000,3423,666,97,50809.968750,0.001909
