Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2363,1893,999,49754.339844,0.020079
2,1000,0.2,0.2,50.0,1000,2417,1917,999,48154.898438,0.020746
3,1000,0.2,0.2,50.0,1000,2459,1938,999,50913.308594,0.019622
4,1000,0.2,0.2,50.0,1000,2415,1947,999,49688.375000,0.020105
5,1000,0.2,0.2,50.0,1000,2312,1855,999,49021.289062,0.020379
6,1000,0.2,0.2,50.0,1000,2412,1953,999,50889.171875,0.019631
7,1000,0.2,0.2,50.0,1000,2461,1941,999,50375.222656,0.019831
8,1000,0.2,0.2,50.0,1000,2395,1956,999,51040.011719,0.019573
9,1000,0.2,0.2,50.0,1000,2536,2004,999,49235.003906,0.020290
10,1000,0.2,0.2,50.0,1000,2405,1952,999,49111.835938,0.020341
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3593,1761,629,50277.882812,0.012510
2,1000,0.5,0.2,50.0,1000,3523,1756,626,49025.218750,0.012769
3,1000,0.5,0.2,50.0,1000,3606,1796,620,50481.792969,0.012282
4,1000,0.5,0.2,50.0,1000,3598,1853,648,49897.441406,0.012987
5,1000,0.5,0.2,50.0,1000,3550,1728,639,49291.582031,0.012964
6,1000,0.5,0.2,50.0,1000,3575,1831,646,49582.910156,0.013029
7,1000,0.5,0.2,50.0,1000,3603,1796,616,50176.175781,0.012277
8,1000,0.5,0.2,50.0,1000,3496,1778,656,48487.976562,0.013529
9,1000,0.5,0.2,50.0,1000,3499,1741,623,48531.148438,0.012837
10,1000,0.5,0.2,50.0,1000,3551,1778,605,49493.824219,0.012224
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3493,703,104,51811.433594,0.002007
2,1000,0.8,0.2,50.0,1000,3404,693,115,50421.933594,0.002281
3,1000,0.8,0.2,50.0,1000,3313,687,105,49115.605469,0.002138
4,1000,0.8,0.2,50.0,1000,3350,721,105,49630.941406,0.002116
5,1000,0.8,0.2,50.0,1000,3360,705,132,49540.636719,0.002664
6,1000,0.8,0.2,50.0,1000,3321,705,121,49168.042969,0.002461
7,1000,0.8,0.2,50.0,1000,3342,659,103,49521.539062,0.002080
8,1000,0.8,0.2,50.0,1000,3526,677,109,52289.152344,0.002085
9,1000,0.8,0.2,50.0,1000,3273,666,114,48417.054688,0.002355
10,1000,0.8,0.2,50.0,1000,3423,666,97,50809.968750,0.001909
