Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,24128,8875,50,49572.773438,0.001009
2,1000,0.1,0.2,50.0,1000,24822,8924,52,49874.511719,0.001043
3,1000,0.1,0.2,50.0,1000,24938,9068,51,50075.394531,0.001018
4,1000,0.1,0.2,50.0,1000,25290,9082,57,50946.218750,0.001119
5,1000,0.1,0.2,50.0,1000,24384,8845,59,49506.976562,0.001192
6,1000,0.1,0.2,50.0,1000,24089,8885,50,49373.765625,0.001013
7,1000,0.1,0.2,50.0,1000,24738,8977,53,49786.808594,0.001065
8,1000,0.1,0.2,50.0,1000,24816,8958,51,49874.945312,0.001023
9,1000,0.1,0.2,50.0,1000,25199,9154,59,50793.519531,0.001162
10,1000,0.1,0.2,50.0,1000,23841,8705,50,48790.507812,0.001025
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,24158,8884,50,49517.488281,0.001010
2,1000,0.2,0.2,50.0,1000,24349,8797,51,48866.738281,0.001044
3,1000,0.2,0.2,50.0,1000,24264,8811,51,48966.964844,0.001042
4,1000,0.2,0.2,50.0,1000,24398,8819,53,49040.546875,0.001081
5,1000,0.2,0.2,50.0,1000,24833,9008,52,50006.347656,0.001040
6,1000,0.2,0.2,50.0,1000,24553,8970,50,50317.824219,0.000994
7,1000,0.2,0.2,50.0,1000,25306,9112,52,50909.363281,0.001021
8,1000,0.2,0.2,50.0,1000,25041,9019,53,50353.789062,0.001053
9,1000,0.2,0.2,50.0,1000,24821,8976,52,49932.878906,0.001041
10,1000,0.2,0.2,50.0,1000,25370,9295,50,52232.433594,0.000957
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,24696,9137,50,50568.468750,0.000989
2,1000,0.4,0.2,50.0,1000,24812,8931,51,49794.628906,0.001024
3,1000,0.4,0.2,50.0,1000,24658,9029,50,50613.226562,0.000988
4,1000,0.4,0.2,50.0,1000,23954,8613,54,48144.957031,0.001122
5,1000,0.4,0.2,50.0,1000,25153,9049,53,50573.597656,0.001048
6,1000,0.4,0.2,50.0,1000,24697,9045,50,50615.167969,0.000988
7,1000,0.4,0.2,50.0,1000,24952,9019,53,50496.789062,0.001050
8,1000,0.4,0.2,50.0,1000,25036,8960,51,50433.308594,0.001011
9,1000,0.4,0.2,50.0,1000,24829,8966,51,49766.640625,0.001025
10,1000,0.4,0.2,50.0,1000,23605,8570,50,48449.542969,0.001032
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,25032,8968,51,50410.003906,0.001012
2,1000,0.6,0.2,50.0,1000,24744,8918,51,49908.976562,0.001022
3,1000,0.6,0.2,50.0,1000,24444,8744,53,49022.332031,0.001081
4,1000,0.6,0.2,50.0,1000,25462,9073,51,51114.855469,0.000998
5,1000,0.6,0.2,50.0,1000,24794,8847,51,49844.863281,0.001023
6,1000,0.6,0.2,50.0,1000,23761,8680,50,48832.000000,0.001024
7,1000,0.6,0.2,50.0,1000,24014,8591,52,48241.066406,0.001078
8,1000,0.6,0.2,50.0,1000,24266,8612,52,48689.386719,0.001068
9,1000,0.6,0.2,50.0,1000,24330,8725,51,48528.062500,0.001051
10,1000,0.6,0.2,50.0,1000,25351,9016,52,50939.128906,0.001021
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23107,4683,50,47496.496094,0.001053
2,1000,0.8,0.2,50.0,1000,24297,4897,53,48879.656250,0.001084
3,1000,0.8,0.2,50.0,1000,24137,4727,50,49516.777344,0.001010
4,1000,0.8,0.2,50.0,1000,25143,5087,51,50409.675781,0.001012
5,1000,0.8,0.2,50.0,1000,23837,4738,50,48865.671875,0.001023
6,1000,0.8,0.2,50.0,1000,24750,5015,50,50889.445312,0.000983
7,1000,0.8,0.2,50.0,1000,25567,5087,51,51517.164062,0.000990
8,1000,0.8,0.2,50.0,1000,25165,5160,50,51603.570312,0.000969
9,1000,0.8,0.2,50.0,1000,23903,4847,51,47862.347656,0.001066
10,1000,0.8,0.2,50.0,1000,24217,4854,50,49682.519531,0.001006
