Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,36,30,9,50174.488281,0.000179
2,1000,0.1,0.2,50.0,1000,65,57,13,49043.769531,0.000265
3,1000,0.1,0.2,50.0,1000,88,84,11,51231.332031,0.000215
4,1000,0.1,0.2,50.0,1000,4033,3655,19,51136.214844,0.000372
5,1000,0.1,0.2,50.0,1000,180,166,19,50874.250000,0.000373
6,1000,0.1,0.2,50.0,1000,4143,3743,26,52566.250000,0.000495
7,1000,0.1,0.2,50.0,1000,3025,2694,14,50798.179688,0.000276
8,1000,0.1,0.2,50.0,1000,1030,923,22,50578.710938,0.000435
9,1000,0.1,0.2,50.0,1000,17300,8778,23,48913.164062,0.000470
10,1000,0.1,0.2,50.0,1000,40,35,11,50299.585938,0.000219
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,5840,4628,10,49200.343750,0.000203
2,1000,0.2,0.2,50.0,1000,5999,4787,10,50049.609375,0.000200
3,1000,0.2,0.2,50.0,1000,17016,9141,11,50582.062500,0.000217
4,1000,0.2,0.2,50.0,1000,21,17,13,48198.023438,0.000270
5,1000,0.2,0.2,50.0,1000,7083,5688,13,50886.531250,0.000255
6,1000,0.2,0.2,50.0,1000,3044,2450,17,51201.531250,0.000332
7,1000,0.2,0.2,50.0,1000,13846,9035,15,50286.960938,0.000298
8,1000,0.2,0.2,50.0,1000,35,28,12,49615.683594,0.000242
9,1000,0.2,0.2,50.0,1000,1971,1592,15,49266.605469,0.000304
10,1000,0.2,0.2,50.0,1000,17640,8897,11,49439.410156,0.000222
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,122,74,14,50544.941406,0.000277
2,1000,0.4,0.2,50.0,1000,79,46,11,48855.015625,0.000225
3,1000,0.4,0.2,50.0,1000,9548,5710,1,48069.414062,0.000021
4,1000,0.4,0.2,50.0,1000,128,70,20,49706.492188,0.000402
5,1000,0.4,0.2,50.0,1000,3933,2353,26,48635.289062,0.000535
6,1000,0.4,0.2,50.0,1000,6215,3719,7,52113.675781,0.000134
7,1000,0.4,0.2,50.0,1000,446,257,41,48793.925781,0.000840
8,1000,0.4,0.2,50.0,1000,14578,8761,27,49664.136719,0.000544
9,1000,0.4,0.2,50.0,1000,72,41,15,48087.558594,0.000312
10,1000,0.4,0.2,50.0,1000,83,44,10,50333.730469,0.000199
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,10963,4377,1,50130.460938,0.000020
2,1000,0.6,0.2,50.0,1000,84,39,10,49002.101562,0.000204
3,1000,0.6,0.2,50.0,1000,16809,6705,13,50196.050781,0.000259
4,1000,0.6,0.2,50.0,1000,93,40,11,48921.992188,0.000225
5,1000,0.6,0.2,50.0,1000,19496,7779,12,49960.894531,0.000240
6,1000,0.6,0.2,50.0,1000,33,22,11,49331.050781,0.000223
7,1000,0.6,0.2,50.0,1000,19,10,4,49773.875000,0.000080
8,1000,0.6,0.2,50.0,1000,13615,5498,11,49172.855469,0.000224
9,1000,0.6,0.2,50.0,1000,9827,3888,0,49430.453125,0.000000
10,1000,0.6,0.2,50.0,1000,14298,5763,12,48249.070312,0.000249
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,15966,3214,10,49524.941406,0.000202
2,1000,0.8,0.2,50.0,1000,13514,2680,10,49591.933594,0.000202
3,1000,0.8,0.2,50.0,1000,17285,3447,10,50172.039062,0.000199
4,1000,0.8,0.2,50.0,1000,18274,3751,10,50239.164062,0.000199
5,1000,0.8,0.2,50.0,1000,9269,1830,3,51730.957031,0.000058
6,1000,0.8,0.2,50.0,1000,10612,2160,10,50297.839844,0.000199
7,1000,0.8,0.2,50.0,1000,17800,3491,10,49197.304688,0.000203
8,1000,0.8,0.2,50.0,1000,10188,2043,1,51218.015625,0.000020
9,1000,0.8,0.2,50.0,1000,360,70,10,48415.414062,0.000207
10,1000,0.8,0.2,50.0,1000,137,28,10,50328.632812,0.000199
