Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.1,0.0,50.0,20,37,32,19,977.723267,0.019433
2,20,0.1,0.0,50.0,20,80,70,10,922.300903,0.010842
3,20,0.1,0.0,50.0,20,34,29,19,1117.656006,0.017000
4,20,0.1,0.0,50.0,20,20,18,18,1066.636719,0.016875
5,20,0.1,0.0,50.0,20,63,45,15,1058.896118,0.014166
6,20,0.1,0.0,50.0,20,23,21,19,1246.917236,0.015238
7,20,0.1,0.0,50.0,20,61,55,16,1104.248413,0.014489
8,20,0.1,0.0,50.0,20,48,41,19,1100.578247,0.017264
9,20,0.1,0.0,50.0,20,45,37,19,935.509888,0.020310
10,20,0.1,0.0,50.0,20,90,75,14,1225.257202,0.011426
